id,user_id,protocol,start_timestep,last_timestep,total_time,wifi_duration,privacy_score
pedestrian_1-1-pt_1304_W_G106M,pedestrian_1-1-pt_1304,WiFi,22457.0,22651.0,195.0,5854.0,0.033310556884181754
pedestrian_1-1-pt_1306_W_4606B,pedestrian_1-1-pt_1306,WiFi,22036.0,22177.0,142.0,6172.0,0.023007128969539856
pedestrian_1-1-pt_1329_W_AYZSX,pedestrian_1-1-pt_1329,WiFi,24253.0,24379.0,127.0,6666.0,0.019051905190519053
pedestrian_1-1-pt_1420_W_1ES0J,pedestrian_1-1-pt_1420,WiFi,20062.0,20268.0,207.0,6156.0,0.033625730994152045
pedestrian_1-1-pt_1473_W_EES2M,pedestrian_1-1-pt_1473,WiFi,24499.0,24707.0,209.0,5832.0,0.03583676268861454
pedestrian_1-1-pt_1497_W_KHJ00,pedestrian_1-1-pt_1497,WiFi,22125.0,22288.0,164.0,5453.0,0.03007518796992481
pedestrian_1-1-pt_150_W_QF8O1,pedestrian_1-1-pt_150,WiFi,21381.0,21660.0,280.0,5891.0,0.04753013070785945
pedestrian_1-1-pt_1560_W_57Z1A,pedestrian_1-1-pt_1560,WiFi,19330.0,19541.0,212.0,6694.0,0.031670152375261426
pedestrian_1-1-pt_1601_W_SNNXJ,pedestrian_1-1-pt_1601,WiFi,20864.0,21081.0,218.0,6011.0,0.036266844119114953
pedestrian_1-1-pt_1669_W_FUIZ7,pedestrian_1-1-pt_1669,WiFi,20349.0,20494.0,146.0,7057.0,0.020688677908459685
pedestrian_1-1-pt_1700_W_N6I6H,pedestrian_1-1-pt_1700,WiFi,24610.0,24834.0,225.0,5771.0,0.03898804366660891
pedestrian_1-1-pt_1714_W_Y2JNA,pedestrian_1-1-pt_1714,WiFi,23594.0,23886.0,293.0,6514.0,0.04498004298434142
pedestrian_1-1-pt_1723_W_5R36O,pedestrian_1-1-pt_1723,WiFi,21920.0,22167.0,248.0,5437.0,0.04561338973698731
pedestrian_1-1-pt_1747_W_6HL9N,pedestrian_1-1-pt_1747,WiFi,20776.0,20990.0,215.0,6993.0,0.030745030745030745
pedestrian_1-1-pt_1798_W_6P3QX,pedestrian_1-1-pt_1798,WiFi,22187.0,22418.0,232.0,5574.0,0.041621815572299964
pedestrian_1-1-pt_182_W_XW9O8,pedestrian_1-1-pt_182,WiFi,23226.0,23414.0,189.0,6141.0,0.030776746458231558
pedestrian_1-1-pt_1966_W_9QXMN,pedestrian_1-1-pt_1966,WiFi,21694.0,21877.0,184.0,6326.0,0.029086310464748657
pedestrian_1-1-pt_2013_W_NCSX9,pedestrian_1-1-pt_2013,WiFi,20812.0,21031.0,220.0,6083.0,0.03616636528028933
pedestrian_1-1-pt_2032_W_4ZJCA,pedestrian_1-1-pt_2032,WiFi,24467.0,24696.0,230.0,6461.0,0.03559820461228912
pedestrian_1-1-pt_2129_W_WC30T,pedestrian_1-1-pt_2129,WiFi,19810.0,20040.0,231.0,6484.0,0.035626156693399136
pedestrian_1-1-pt_2162_W_SGPTJ,pedestrian_1-1-pt_2162,WiFi,23415.0,23563.0,149.0,6850.0,0.021751824817518247
pedestrian_1-1-pt_2170_W_97WSL,pedestrian_1-1-pt_2170,WiFi,19423.0,20110.0,688.0,6529.0,0.10537601470362996
pedestrian_1-1-pt_2297_W_ONU0F,pedestrian_1-1-pt_2297,WiFi,21770.0,21925.0,156.0,5715.0,0.027296587926509186
pedestrian_1-1-pt_2342_W_RPAMN,pedestrian_1-1-pt_2342,WiFi,19984.0,20187.0,204.0,6929.0,0.02944147784673113
pedestrian_1-1-pt_2369_W_462EB,pedestrian_1-1-pt_2369,WiFi,22187.0,22411.0,225.0,6654.0,0.03381424706943192
pedestrian_1-1-pt_2424_W_GUP8Y,pedestrian_1-1-pt_2424,WiFi,24785.0,24976.0,192.0,5720.0,0.033566433566433566
pedestrian_1-1-pt_2425_W_9MSHJ,pedestrian_1-1-pt_2425,WiFi,21119.0,21434.0,316.0,6264.0,0.05044699872286079
pedestrian_1-1-pt_2431_W_WVFIT,pedestrian_1-1-pt_2431,WiFi,23045.0,23247.0,203.0,6458.0,0.03143388045834624
pedestrian_1-1-pt_2503_W_1RCKG,pedestrian_1-1-pt_2503,WiFi,21820.0,21977.0,158.0,5459.0,0.028943029858948525
pedestrian_1-1-pt_2529_W_2PIHS,pedestrian_1-1-pt_2529,WiFi,20440.0,20692.0,253.0,6637.0,0.03811963236401989
pedestrian_1-1-pt_255_W_J5UOR,pedestrian_1-1-pt_255,WiFi,24180.0,24492.0,313.0,7122.0,0.04394832912103342
pedestrian_1-1-pt_2606_W_JBX1A,pedestrian_1-1-pt_2606,WiFi,20890.0,21040.0,151.0,6687.0,0.022581127560939135
pedestrian_1-1-pt_2718_W_GNPN8,pedestrian_1-1-pt_2718,WiFi,23021.0,23164.0,144.0,6006.0,0.023976023976023976
pedestrian_1-1-pt_2770_W_HQJA6,pedestrian_1-1-pt_2770,WiFi,24252.0,24474.0,223.0,7127.0,0.03128946260698751
pedestrian_1-1-pt_2808_W_RSK18,pedestrian_1-1-pt_2808,WiFi,22954.0,23173.0,220.0,5418.0,0.04060538944259875
pedestrian_1-1-pt_2820_W_3E8GY,pedestrian_1-1-pt_2820,WiFi,22463.0,22661.0,199.0,6484.0,0.03069093152375077
pedestrian_1-1-pt_2834_W_BK339,pedestrian_1-1-pt_2834,WiFi,20816.0,21048.0,233.0,6107.0,0.038152939250040936
pedestrian_1-1-pt_2844_W_8TRJL,pedestrian_1-1-pt_2844,WiFi,23451.0,23773.0,323.0,6829.0,0.047298286718406794
pedestrian_1-1-pt_2863_W_0Z81J,pedestrian_1-1-pt_2863,WiFi,20016.0,20289.0,274.0,6429.0,0.04261938093016021
